CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
0.6807500000000001,0.9217500000000001,1.65035,2.01825,2.03445,2.0745,2.1611,3.95785,2.2317,-2.67875,-4.8815,-4.27505,-0.32255
0.4471,0.7523500000000001,1.4486,1.7728,1.8506,1.843,2.02555,3.73515,2.01715,-2.7814,-4.98115,-4.42755,-0.5526
0.2249,0.5933499999999999,1.25585,1.5405,1.6696499999999999,1.6210499999999999,1.8948500000000001,3.5033,1.80905,-2.8578,-5.044449999999999,-4.5451999999999995,-0.7642
0.016750000000000015,0.44730000000000003,1.07285,1.3214000000000001,1.4932500000000002,1.41015,1.76725,3.26625,1.6082,-2.90405,-5.06895,-4.62535,-0.9541
-0.17445000000000002,0.31570000000000004,0.9005500000000001,1.1162,1.3226,1.2118,1.6416,3.02925,1.41595,-2.91775,-5.0542,-4.66695,-1.11995
-0.3468,0.19829999999999998,0.7391,0.9251999999999999,1.1578,1.02685,1.5180500000000001,2.7994,1.23345,-2.8986,-5.0013499999999995,-4.67075,-1.26065
-0.49945,0.09364999999999998,0.58765,0.74815,0.9985999999999999,0.85555,1.3978,2.58545,1.0623500000000001,-2.8483,-4.9125499999999995,-4.63915,-1.3768
-0.63265,-0.0002999999999999947,0.44520000000000004,0.5840500000000001,0.845,0.6975,1.2822,2.3949,0.9036500000000001,-2.76975,-4.79005,-4.5754,-1.4701
-0.74775,-0.08585000000000001,0.3097,0.431,0.69625,0.5510499999999999,1.1715,2.23035,0.75695,-2.6667,-4.636,-4.48285,-1.54275
-0.84745,-0.16560000000000002,0.1784,0.28559999999999997,0.5503,0.41265,1.06365,2.08805,0.6189,-2.5432,-4.4531,-4.365,-1.59795
-0.93575,-0.2429,0.04735,0.14350000000000002,0.4034,0.27705,0.95455,1.9598,0.48435000000000006,-2.40395,-4.24475,-4.2254000000000005,-1.63975
-1.01715,-0.32094999999999996,-0.0875,0.0003999999999999976,0.25179999999999997,0.13885,0.8391500000000001,1.8357999999999999,0.3478,-2.25425,-4.0153,-4.06795,-1.6728
-1.09545,-0.4026,-0.22909999999999997,-0.1465,0.093,-0.005950000000000004,0.7129,1.7062,0.20515,-2.09985,-3.7693,-3.8964,-1.7015
-1.1734499999999999,-0.49,-0.37915000000000004,-0.2982,-0.07375000000000001,-0.1593,0.57265,1.5621999999999998,0.0541,-1.9458000000000002,-3.5111499999999998,-3.71405,-1.7292
-1.2532999999999999,-0.584,-0.53785,-0.4545,-0.24765,-0.32135,0.41685,1.3974000000000002,-0.10565,-1.7958500000000002,-3.2443999999999997,-3.52345,-1.7582499999999999
-1.3363,-0.68425,-0.70385,-0.61395,-0.4262,-0.4905,0.24645,1.20925,-0.2721,-1.6519,-2.97175,-3.326,-1.7894999999999999
-1.42255,-0.7889999999999999,-0.8746,-0.7737,-0.60475,-0.6635,0.0658,1.0009,-0.44075,-1.5141,-2.6952,-3.12225,-1.8228
-1.5115,-0.8959,-1.0464,-0.93,-0.7775000000000001,-0.83565,-0.11770000000000001,0.7811,-0.6052500000000001,-1.3819,-2.41645,-2.91215,-1.8573499999999998
-1.60175,-1.0018,-1.21535,-1.07875,-0.9379,-1.0019,-0.29519999999999996,0.5632,-0.7588,-1.25455,-2.1372999999999998,-2.6961,-1.89215
-1.6915,-1.1036000000000001,-1.3774000000000002,-1.2164000000000001,-1.08085,-1.15725,-0.4584,0.3609,-0.8956000000000001,-1.13125,-1.8598999999999999,-2.4748,-1.9259
-1.77915,-1.19815,-1.52935,-1.3406500000000001,-1.2029,-1.2981,-0.60095,0.18525,-1.0123,-1.01165,-1.5865999999999998,-2.2492,-1.95755
-1.8643,-1.28175,-1.6660499999999998,-1.4459499999999998,-1.2997,-1.41865,-0.7261,0.0305,-1.1053,-0.89005,-1.315,-2.01645,-1.9834
-1.94425,-1.355,-1.7891,-1.53755,-1.3779,-1.5223,-0.8229000000000001,-0.0882,-1.17895,-0.7712,-1.0526,-1.7812999999999999,-2.0056000000000003
-2.0171,-1.4171,-1.89725,-1.6162,-1.4418,-1.6090499999999999,-0.8891,-0.17025,-1.23515,-0.65375,-0.8008,-1.5441,-2.0224
-2.07965,-1.46565,-1.988,-1.68205,-1.49465,-1.6784,-0.9233500000000001,-0.2168,-1.2752000000000001,-0.53535,-0.5587500000000001,-1.30395,-2.0303500000000003
-2.128,-1.4965,-2.0576,-1.7347000000000001,-1.53795,-1.72875,-0.9256,-0.23085,-1.29895,-0.41275,-0.32435,-1.05935,-2.02445
-2.1552,-1.5101,-2.1098,-1.7857,-1.5820500000000002,-1.76885,-0.87665,-0.1839,-1.3144,-0.29695,-0.10925000000000001,-0.8195,-2.00815
-2.16235,-1.5002499999999999,-2.13475,-1.8216,-1.6156,-1.7881500000000001,-0.80295,-0.1175,-1.3148499999999999,-0.17215,0.10194999999999999,-0.5745,-1.9701
-2.14855,-1.4679,-2.1311999999999998,-1.84205,-1.6378499999999998,-1.78715,-0.7109000000000001,-0.0395,-1.30195,-0.0378,0.30920000000000003,-0.3262,-1.9089
-2.11355,-1.41575,-2.0986000000000002,-1.8464999999999998,-1.6478,-1.76685,-0.60755,0.043649999999999994,-1.27715,0.1054,0.51165,-0.07725000000000001,-1.82455
-2.05775,-1.34695,-2.03705,-1.83405,-1.64395,-1.7279,-0.49950000000000006,0.12755,-1.2412,0.2563,0.7083499999999999,0.1699,-1.7178
-1.9818000000000002,-1.26445,-1.94695,-1.8035999999999999,-1.6244999999999998,-1.6713,-0.39285000000000003,0.20895,-1.19465,0.41359999999999997,0.8986500000000001,0.4133,-1.5899
-1.8868500000000001,-1.17025,-1.8295000000000001,-1.75495,-1.5884,-1.5986500000000001,-0.29355,0.2854,-1.1386,0.57575,1.0823999999999998,0.65135,-1.4427500000000002
-1.77505,-1.0659999999999998,-1.68715,-1.6891,-1.53555,-1.5125,-0.20635,0.35535,-1.0746,0.7409,1.25985,0.88295,-1.27875
-1.64935,-0.9528,-1.5235,-1.60835,-1.46665,-1.41555,-0.13405,0.41945,-1.00465,0.9067000000000001,1.4314,1.10715,-1.10085
-1.51285,-0.8313,-1.3431,-1.51555,-1.3828500000000001,-1.30975,-0.07685,0.48015,-0.9301,1.0701,1.5972499999999998,1.323,-0.9122
-1.3689,-0.70175,-1.1503999999999999,-1.41335,-1.2856,-1.1964,-0.0343,0.5401,-0.8521000000000001,1.2279499999999999,1.75705,1.5293,-0.7157
-1.21995,-0.5643,-0.94945,-1.30375,-1.1769,-1.07645,-0.006400000000000003,0.5993999999999999,-0.7714,1.37705,1.90995,1.72445,-0.51405
-1.06775,-0.4195499999999999,-0.7437,-1.1879000000000002,-1.05785,-0.9502,0.006499999999999992,0.65445,-0.6887,1.5142499999999999,2.0542,1.906,-0.30965000000000004
-0.91285,-0.26885000000000003,-0.53545,-1.0659500000000002,-0.9291499999999999,-0.81755,0.005299999999999999,0.69875,-0.6035,1.6369,2.18725,2.07115,-0.10475000000000001
-0.75525,-0.11414999999999997,-0.32655,-0.9373,-0.79095,-0.67825,-0.006750000000000006,0.7254999999999999,-0.51475,1.7425000000000002,2.30615,2.2172,0.09805000000000008
-0.5951500000000001,0.0414000000000001,-0.11909999999999998,-0.8019999999999999,-0.6444000000000001,-0.5325,-0.024900000000000005,0.72875,-0.42164999999999997,1.8287,2.40715,2.34115,0.29555
-0.4334499999999999,0.19365,0.08450000000000002,-0.661,-0.49294999999999994,-0.38144999999999996,-0.04335,0.7041000000000001,-0.32465,1.893,2.4861,2.44035,0.4839
-0.271,0.33899999999999997,0.2821499999999999,-0.51505,-0.34035,-0.22650000000000003,-0.05645,0.64945,-0.22445,1.9337,2.54005,2.51325,0.66005
-0.10775000000000001,0.4762,0.47340000000000004,-0.36355000000000004,-0.1886,-0.06789999999999996,-0.059,0.56655,-0.12104999999999999,1.9510999999999998,2.5691,2.561,0.8231999999999999
