CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-0.99385,-0.7016,-1.1998,-1.57175,-1.18825,-1.50075,-0.1582,-0.74065,-1.784,-0.391,-0.50395,-0.42665,-0.56215
-0.9328,-0.6523,-1.09405,-1.4958,-1.1049,-1.4142000000000001,-0.14635000000000004,-0.795,-1.7237500000000001,-0.3123,-0.4462,-0.3692,-0.51635
-0.8656999999999999,-0.5942000000000001,-0.9791500000000001,-1.4167999999999998,-1.01865,-1.32765,-0.1407,-0.8389,-1.66125,-0.22845,-0.38115,-0.30655,-0.46485
-0.7973,-0.5332,-0.8627499999999999,-1.34185,-0.9372499999999999,-1.2483,-0.14345,-0.8752,-1.6036000000000001,-0.14525,-0.3133,-0.24415,-0.4124
-0.7301500000000001,-0.47365,-0.7507,-1.2753999999999999,-0.8661000000000001,-1.1809,-0.15225,-0.9050499999999999,-1.55445,-0.0659,-0.24525,-0.18475,-0.362
-0.6656,-0.41935,-0.64775,-1.2201,-0.80845,-1.1287,-0.16240000000000002,-0.9285,-1.5156,0.008200000000000013,-0.1784,-0.12985000000000002,-0.3156
-0.60605,-0.37465,-0.55915,-1.1785999999999999,-0.76745,-1.0944500000000001,-0.1703,-0.94625,-1.4884499999999998,0.0753,-0.1152,-0.0811,-0.2758
-0.5559,-0.345,-0.4909,-1.154,-0.7469,-1.0815,-0.17575,-0.9596499999999999,-1.476,0.13180000000000003,-0.0599,-0.042049999999999976,-0.24639999999999998
-0.5202,-0.33540000000000003,-0.4488,-1.14905,-0.74995,-1.092,-0.1812,-0.9698,-1.4807000000000001,0.17314999999999997,-0.01705,-0.01660000000000003,-0.23155000000000003
-0.50195,-0.34819999999999995,-0.4359,-1.16435,-0.7771000000000001,-1.1254,-0.18985,-0.97605,-1.50335,0.19619999999999999,0.01104999999999999,-0.007050000000000001,-0.23325
-0.5005499999999999,-0.3817,-0.4509,-1.197,-0.82545,-1.1774,-0.20305,-0.9754499999999999,-1.5411,0.20149999999999998,0.025900000000000006,-0.011850000000000027,-0.2501
-0.51175,-0.43049999999999994,-0.48845000000000005,-1.24125,-0.889,-1.2410999999999999,-0.21985,-0.96395,-1.5881500000000002,0.19349999999999998,0.03255000000000001,-0.02579999999999999,-0.2779
-0.53045,-0.48815,-0.5417000000000001,-1.2905,-0.96115,-1.30905,-0.2382,-0.9379500000000001,-1.6379,0.17845,0.0372,-0.04254999999999998,-0.31129999999999997
-0.5524,-0.5494,-0.6046,-1.33945,-1.0363,-1.37555,-0.25685,-0.8965000000000001,-1.68525,0.1624,0.04485,-0.05669999999999997,-0.3456
-0.5752,-0.6108,-0.6729499999999999,-1.3850500000000001,-1.111,-1.4372,-0.2762,-0.8412,-1.72755,0.14895,0.058050000000000004,-0.06505000000000002,-0.37829999999999997
-0.59775,-0.6709499999999999,-0.7439,-1.42645,-1.18295,-1.4923,-0.29795,-0.776,-1.764,0.13984999999999997,0.07765,-0.06625000000000003,-0.40804999999999997
-0.6186,-0.72815,-0.81465,-1.46265,-1.2497,-1.5392000000000001,-0.32315,-0.70565,-1.79385,0.1365,0.10405000000000002,-0.05925,-0.43370000000000003
-0.63555,-0.78025,-0.8815999999999999,-1.4923,-1.30775,-1.57575,-0.351,-0.6351,-1.81595,0.14105,0.1384,-0.042450000000000015,-0.45344999999999996
-0.6459999999999999,-0.8247500000000001,-0.94135,-1.5135999999999998,-1.3538999999999999,-1.6002,-0.37935,-0.56925,-1.82915,0.15560000000000002,0.18215,-0.01419999999999999,-0.46505
-0.6484000000000001,-0.8599000000000001,-0.9914,-1.5257,-1.38615,-1.612,-0.4053,-0.51305,-1.83305,0.18175000000000002,0.2359,0.02595,-0.46740000000000004
-0.6434500000000001,-0.8863,-1.0317,-1.53,-1.40565,-1.6130499999999999,-0.42715000000000003,-0.47125,-1.82925,0.21830000000000002,0.29815,0.07605,-0.46145
-0.6357999999999999,-0.9084,-1.0657,-1.5312000000000001,-1.4178,-1.6088,-0.44625,-0.44955,-1.8226,0.26055,0.36385,0.13055,-0.45204999999999995
-0.63365,-0.93445,-1.1008499999999999,-1.53755,-1.4322,-1.60825,-0.4683,-0.4544,-1.8217500000000002,0.30025,0.42410000000000003,0.18064999999999998,-0.44755
