CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-1.64325,-1.1719,-1.33785,-1.65285,-1.1820499999999998,-1.19695,-0.28835,-1.90125,-1.2605499999999998,-0.97905,-0.92555,-0.90005,-1.2141
-1.6822000000000001,-1.23305,-1.38215,-1.6985999999999999,-1.23125,-1.2391,-0.38094999999999996,-1.6668,-1.3303,-1.09435,-1.0482,-1.01675,-1.2958
-1.7008,-1.27285,-1.4102000000000001,-1.7269,-1.2670000000000001,-1.2665000000000002,-0.46845000000000003,-1.3714,-1.3888,-1.19055,-1.1485500000000002,-1.11635,-1.3545
-1.7001,-1.2907,-1.4224,-1.7389000000000001,-1.2901,-1.28085,-0.5567500000000001,-1.04495,-1.4362,-1.26445,-1.22325,-1.19455,-1.3892
-1.6823000000000001,-1.28745,-1.4201000000000001,-1.73665,-1.3018,-1.2842500000000001,-0.65045,-0.7192000000000001,-1.4727999999999999,-1.31495,-1.27115,-1.2489,-1.40015
-1.6496,-1.26495,-1.405,-1.7223000000000002,-1.30315,-1.27865,-0.751,-0.42355,-1.49895,-1.34295,-1.29335,-1.2795999999999998,-1.38875
-1.6042999999999998,-1.2251,-1.37835,-1.6975,-1.2942,-1.26505,-0.8572500000000001,-0.18040000000000003,-1.5145,-1.35015,-1.29265,-1.28805,-1.3572
-1.5482500000000001,-1.1697,-1.34085,-1.6629,-1.2744,-1.2435,-0.9654499999999999,-0.0010499999999999954,-1.5188,-1.3377500000000002,-1.27175,-1.27565,-1.3071
-1.4833,-1.1003,-1.2934,-1.6187,-1.2431,-1.21385,-1.0712,0.1134,-1.51095,-1.30575,-1.2332,-1.24295,-1.2403
-1.4116,-1.0195,-1.2374,-1.5653000000000001,-1.2008,-1.1767,-1.17185,0.16770000000000002,-1.4903,-1.2544499999999998,-1.1789999999999998,-1.1904,-1.15915
-1.33575,-0.931,-1.1753,-1.504,-1.14955,-1.1335,-1.2678,0.16820000000000002,-1.4572,-1.18555,-1.11155,-1.11985,-1.06695
-1.2587,-0.8392000000000001,-1.1101999999999999,-1.43715,-1.0925500000000001,-1.08685,-1.36145,0.11980000000000002,-1.41285,-1.1021,-1.0337,-1.0346,-0.9679
-1.1832,-0.74835,-1.04525,-1.3674,-1.03355,-1.03935,-1.4552999999999998,0.025849999999999984,-1.3594,-1.0077,-0.94815,-0.93875,-0.8663000000000001
-1.1115,-0.66195,-0.98355,-1.2976,-0.97575,-0.9934,-1.55045,-0.10965,-1.2989,-0.90605,-0.85785,-0.83685,-0.766
-1.04505,-0.5829,-0.9279000000000001,-1.2301,-0.9218,-0.9509,-1.6456499999999998,-0.28,-1.2338,-0.8006,-0.7664,-0.7337,-0.6707000000000001
-0.98465,-0.51345,-0.8801,-1.1669,-0.87395,-0.9134,-1.7368000000000001,-0.4746,-1.16615,-0.69495,-0.67795,-0.6345000000000001,-0.58345
-0.9304,-0.4552,-0.84115,-1.10905,-0.83355,-0.8814500000000001,-1.8168,-0.67795,-1.09815,-0.59285,-0.597,-0.544,-0.5064
-0.8815000000000001,-0.4088,-0.8103499999999999,-1.05665,-0.8011,-0.85475,-1.877,-0.8717,-1.03085,-0.49785,-0.5274,-0.4661,-0.44089999999999996
-0.8365,-0.37385,-0.78595,-1.0089,-0.77555,-0.83165,-1.9090500000000001,-1.0392000000000001,-0.9642,-0.4123,-0.47124999999999995,-0.40285,-0.3867
-0.7928,-0.3487,-0.76525,-0.9641000000000001,-0.7548,-0.80925,-1.90625,-1.1714499999999999,-0.8967,-0.3376,-0.4283,-0.35385,-0.34240000000000004
-0.74745,-0.33060000000000006,-0.7452000000000001,-0.91995,-0.7362,-0.7845,-1.8649,-1.2680500000000001,-0.8263000000000001,-0.27335,-0.3961,-0.31635,-0.30555
-0.6978,-0.31685,-0.7231,-0.8741000000000001,-0.7174,-0.7543500000000001,-1.7849,-1.33285,-0.75105,-0.2179,-0.3709,-0.28625,-0.27315
-0.6416000000000001,-0.3050999999999999,-0.6971499999999999,-0.8246500000000001,-0.6972499999999999,-0.71695,-1.6703000000000001,-1.3676,-0.67045,-0.1683,-0.34864999999999996,-0.2586,-0.24234999999999998
-0.57805,-0.29375,-0.6662000000000001,-0.7703500000000001,-0.6754,-0.6718000000000001,-1.528,-1.3698000000000001,-0.58615,-0.12195,-0.32599999999999996,-0.22965,-0.21089999999999998
-0.50705,-0.28190000000000004,-0.6303000000000001,-0.71095,-0.6522999999999999,-0.6196,-1.36565,-1.335,-0.50105,-0.0772,-0.3009,-0.1978,-0.17754999999999999
-0.42945,-0.26954999999999996,-0.5898,-0.64715,-0.6292500000000001,-0.5620999999999999,-1.191,-1.2598500000000001,-0.4193,-0.033650000000000006,-0.27285000000000004,-0.16355,-0.1421
-0.34614999999999996,-0.25634999999999997,-0.5457,-0.5800500000000001,-0.60665,-0.5007,-1.00785,-1.14305,-0.3437,0.008500000000000008,-0.24125,-0.12785,-0.10435
-0.2597,-0.24280000000000007,-0.49849999999999994,-0.51115,-0.5853999999999999,-0.43779999999999997,-0.8224,-0.9880500000000001,-0.27785000000000004,0.04979999999999998,-0.2059,-0.09125,-0.06545000000000001
-0.17174999999999996,-0.22849999999999998,-0.44830000000000003,-0.4412,-0.56525,-0.37475,-0.6365999999999999,-0.8027,-0.2229,0.09129999999999996,-0.1668,-0.0539,-0.0262
-0.08355000000000001,-0.21285000000000004,-0.39494999999999997,-0.36995,-0.54525,-0.31190000000000007,-0.4505,-0.59985,-0.17765000000000003,0.13490000000000002,-0.125,-0.01595000000000002,0.012500000000000011
0.004650000000000043,-0.19465000000000005,-0.33759999999999996,-0.2958,-0.52355,-0.24850000000000005,-0.264,-0.39485,-0.1391,0.18309999999999998,-0.08145000000000001,0.02350000000000002,0.05064999999999997
0.09299999999999997,-0.17284999999999995,-0.2755500000000001,-0.21730000000000005,-0.49824999999999997,-0.18374999999999997,-0.07829999999999998,-0.20035000000000003,-0.10359999999999997,0.23845,-0.036849999999999994,0.06555000000000005,0.0887
0.18109999999999998,-0.14735000000000004,-0.20905,-0.13419999999999999,-0.46840000000000004,-0.11775000000000002,0.10264999999999996,-0.021199999999999997,-0.06894999999999998,0.3021,0.008450000000000013,0.11120000000000008,0.12675
0.26744999999999997,-0.119,-0.13954999999999995,-0.0479,-0.43485,-0.05205000000000001,0.27180000000000004,0.14475000000000002,-0.03485,0.37265,0.053649999999999975,0.16054999999999997,0.1643
0.34995,-0.0892,-0.069,0.03950000000000001,-0.39895,0.01154999999999999,0.42,0.30069999999999997,-0.0020999999999999977,0.44595,0.09760000000000002,0.21189999999999998,0.2003
0.42725,-0.05814999999999998,0.0015999999999999903,0.1264,-0.36150000000000004,0.0723,0.539,0.44415000000000004,0.029449999999999976,0.51665,0.13824999999999998,0.26265000000000005,0.2344
0.49965000000000004,-0.0247,0.07289999999999999,0.2127,-0.3211,0.13169999999999998,0.62395,0.56475,0.062,0.5798000000000001,0.17374999999999996,0.3101,0.26739999999999997
0.5689500000000001,0.013850000000000001,0.14695,0.29995,-0.27485,0.19290000000000002,0.6753,0.6473,0.09935000000000005,0.6325000000000001,0.20305,0.35285000000000005,0.301
0.6376,0.0605,0.22644999999999998,0.39055,-0.2192,0.2598,0.69775,0.67805,0.1462,0.6739499999999999,0.22685,0.3911,0.3377
0.70825,0.11805,0.31375,0.48665,-0.1516,0.3358,0.6993,0.6506000000000001,0.20620000000000005,0.7048000000000001,0.24705,0.42669999999999997,0.37979999999999997
0.7828999999999999,0.18819999999999998,0.41015,0.5896,-0.07085000000000002,0.4231,0.68965,0.56945,0.2815,0.7260500000000001,0.26624999999999993,0.46155000000000007,0.42924999999999996
0.8625,0.2714,0.51485,0.6990500000000001,0.022150000000000003,0.5217,0.67835,0.44794999999999996,0.37185000000000007,0.7384,0.28650000000000003,0.49659999999999993,0.4866
0.94625,0.366,0.62515,0.81325,0.12440000000000001,0.62925,0.67355,0.30460000000000004,0.47455,0.74205,0.30905,0.5318499999999999,0.55105
1.03195,0.46855,0.7365999999999999,0.9286,0.23145,0.7408,0.6805,0.16075000000000006,0.5844499999999999,0.7371500000000001,0.3339,0.5661,0.6202
1.1165,0.5750500000000001,0.84395,1.0404,0.33804999999999996,0.8500000000000001,0.7016,0.038250000000000006,0.69495,0.72395,0.36065,0.5979,0.69095
1.19625,0.6809499999999999,0.94215,1.1428,0.4387,0.94965,0.736,-0.04465000000000008,0.7989499999999999,0.70365,0.38865000000000005,0.62595,0.7599
1.26715,0.78185,1.0262,1.2294,0.5279,1.0329,0.78,-0.07840000000000003,0.8891,0.6778500000000001,0.4169,0.6488,0.82345
1.32505,0.8732,1.0915,1.29375,0.6001000000000001,1.0933,0.82785,-0.06479999999999997,0.9583499999999999,0.6483,0.4432,0.66485,0.878
1.36615,0.95075,1.1341999999999999,1.33,0.65045,1.12555,0.8744,-0.014399999999999968,1.0005,0.6164,0.46449999999999997,0.6722999999999999,0.92015
1.3879,1.01075,1.1513,1.3343,0.67525,1.1263,0.9175,0.05754999999999999,1.01155,0.5838,0.47755000000000003,0.6699999999999999,0.9474
1.3888,1.0505499999999999,1.14135,1.3047,0.6728000000000001,1.09395,0.9583999999999999,0.13599999999999995,0.9896499999999999,0.55235,0.47995,0.6578,0.95835
1.3685,1.0686499999999999,1.10425,1.2414,0.643,1.02885,0.9999,0.20884999999999998,0.93515,0.5239,0.47065,0.6362,0.95285
1.32775,1.06525,1.04145,1.14635,0.5872999999999999,0.93295,1.04445,0.26835000000000003,0.8503,0.49934999999999996,0.45039999999999997,0.6065,0.9319999999999999
1.2688,1.0424,0.9559500000000001,1.02355,0.5088,0.80985,1.0920999999999998,0.3101,0.7392,0.47875,0.42185,0.5703,0.89805
1.1952500000000001,1.00395,0.8527,0.87925,0.41245,0.6651,1.1401,0.33165,0.6082000000000001,0.46105,0.389,0.5292,0.8545
1.1117,0.9548,0.7376,0.7215,0.30485,0.5058,1.1829,0.33065,0.4654,0.445,0.35605,0.48485,0.8053
1.0235,0.9005000000000001,0.61725,0.5597,0.19354999999999997,0.34005,1.2135,0.30495,0.32005,0.42985,0.3267,0.4392,0.75435
0.9356,0.8462000000000001,0.49805,0.40275,0.08639999999999998,0.17605,1.2253,0.2551,0.18110000000000004,0.4155,0.30435,0.3949,0.7053499999999999
0.8521,0.79555,0.3846,0.2576,-0.010300000000000004,0.02074999999999999,1.21305,0.18514999999999998,0.055800000000000016,0.40264999999999995,0.29159999999999997,0.3547,0.6608499999999999
0.7746999999999999,0.74945,0.2792,0.12840000000000001,-0.09290000000000001,-0.1214,1.173,0.1013,-0.05245,0.3915,0.28985,0.3211,0.6216
0.7029,0.70615,0.18139999999999998,0.015950000000000006,-0.16080000000000003,-0.24905,1.1028,0.008950000000000014,-0.14384999999999998,0.38165,0.2984,0.2956,0.58615
0.63435,0.66195,0.08909999999999998,-0.0811,-0.21620000000000003,-0.3634,1.00225,-0.08705000000000002,-0.2215,0.37195,0.31405,0.27775,0.5517000000000001
0.5659500000000001,0.6127,-0.0002500000000000002,-0.16519999999999999,-0.26285,-0.46655,0.8745499999999999,-0.18134999999999998,-0.2902,0.3602,0.3318,0.26565,0.5143500000000001
0.495,0.5552,-0.0882,-0.23885,-0.30455,-0.56065,0.72705,-0.2658,-0.35424999999999995,0.34365,0.3463,0.2561,0.4709
0.41955,0.48785,-0.1749,-0.30385,-0.34435,-0.647,0.56955,-0.33035000000000003,-0.4167,0.31934999999999997,0.3528,0.2457,0.41915
0.33904999999999996,0.41105,-0.25930000000000003,-0.3611,-0.38439999999999996,-0.72565,0.41169999999999995,-0.36474999999999996,-0.4787,0.28500000000000003,0.34855,0.2308,0.358
0.2542,0.32689999999999997,-0.33905,-0.4101,-0.42485,-0.79555,0.26175000000000004,-0.35944999999999994,-0.53955,0.24009999999999998,0.33215,0.20875,0.28795
