CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-0.0747,0.15314999999999995,-0.3585,-0.8165499999999999,-0.53895,-1.0033,-1.5824000000000003,-1.4743,-1.50455,-1.28035,0.6265000000000001,-0.5809500000000001,-0.37334999999999996
-0.2598,-0.033299999999999996,-0.50465,-0.9762499999999998,-0.66185,-1.1263,-1.58095,-1.4638,-1.5719999999999998,-1.41415,0.46449999999999997,-0.74005,-0.5621
-0.43725,-0.20514999999999994,-0.63605,-1.1237,-0.77215,-1.23595,-1.55825,-1.4463000000000004,-1.62115,-1.53975,0.29455,-0.8991,-0.7422
-0.6062000000000001,-0.36074999999999996,-0.7522,-1.2553,-0.8709,-1.33155,-1.5211000000000001,-1.4280999999999997,-1.6542000000000001,-1.6562000000000001,0.1165,-1.057,-0.91225
-0.7656,-0.4989,-0.85195,-1.3681999999999999,-0.9582,-1.4123,-1.47665,-1.4149,-1.6733500000000001,-1.7611500000000002,-0.0676,-1.2111,-1.07055
-0.91345,-0.61805,-0.9335,-1.4603000000000002,-1.03315,-1.47755,-1.43015,-1.4104999999999999,-1.68085,-1.851,-0.25195,-1.35595,-1.214
-1.0464000000000002,-0.7161500000000001,-0.9943499999999998,-1.5299500000000001,-1.09425,-1.5263,-1.38455,-1.41655,-1.6779,-1.9212,-0.42774999999999996,-1.4846,-1.33825
-1.1605,-0.7908,-1.0319,-1.57485,-1.1388,-1.5569000000000002,-1.342,-1.4333999999999998,-1.66455,-1.9672,-0.58585,-1.58955,-1.43865
-1.2519,-0.8402500000000002,-1.0441,-1.59245,-1.16425,-1.5674,-1.3047,-1.46075,-1.6398,-1.98545,-0.71925,-1.66485,-1.512
-1.31895,-0.86555,-1.03155,-1.58255,-1.1702,-1.5577,-1.27485,-1.4969,-1.6036000000000001,-1.9748,-0.82555,-1.70725,-1.558
-1.3632000000000002,-0.87155,-0.9985499999999999,-1.54875,-1.16055,-1.53125,-1.2540499999999999,-1.53915,-1.5590000000000002,-1.9367,-0.907,-1.7165,-1.57965
-1.3893,-0.8655999999999999,-0.9522499999999999,-1.4985,-1.14275,-1.4943,-1.24335,-1.58375,-1.51165,-1.8747,-0.968,-1.6946999999999999,-1.5823999999999998
-1.4033,-0.8551,-0.9008,-1.44075,-1.1253000000000002,-1.4538499999999999,-1.24285,-1.6266500000000002,-1.46805,-1.7928,-1.01265,-1.6446999999999998,-1.5715999999999999
-1.41025,-0.84475,-0.8504499999999999,-1.38315,-1.1146,-1.4151,-1.2502,-1.66345,-1.43255,-1.69425,-1.04285,-1.56885,-1.55075
-1.4126,-0.8360000000000001,-0.8039,-1.32955,-1.1136,-1.3796499999999998,-1.25975,-1.6893,-1.4058000000000002,-1.58045,-1.0586,-1.4686,-1.5206
-1.4099,-0.8274,-0.76075,-1.2801,-1.12135,-1.34575,-1.264,-1.6980499999999998,-1.3846,-1.4512999999999998,-1.0596999999999999,-1.34525,-1.4796
-1.4029,-0.8187,-0.71765,-1.23525,-1.1365,-1.31255,-1.25065,-1.6797499999999999,-1.3666,-1.3083,-1.04855,-1.20455,-1.4282
-1.38365,-0.8015,-0.6702,-1.1852,-1.1482999999999999,-1.27045,-1.2141,-1.6319,-1.33935,-1.14985,-1.026,-1.04565,-1.36055
-1.34665,-0.7697999999999999,-0.6125,-1.1225,-1.14815,-1.213,-1.14535,-1.5509499999999998,-1.2938,-0.97485,-0.99235,-0.8697,-1.27285
-1.28605,-0.7183499999999999,-0.5393,-1.0401,-1.12735,-1.1341999999999999,-1.03735,-1.43715,-1.22145,-0.7811,-0.9457,-0.67595,-1.16105
-1.1975,-0.64395,-0.4465,-0.933,-1.0787499999999999,-1.0299,-0.8873,-1.2953999999999999,-1.11595,-0.5669,-0.8835000000000001,-0.46385,-1.0223
-1.0796,-0.5469499999999999,-0.3332,-0.7996,-0.99925,-0.8992499999999999,-0.6987,-1.1359,-0.97525,-0.33335000000000004,-0.804,-0.2349,-0.85675
-0.9349999999999999,-0.43145,-0.202,-0.6427499999999999,-0.8920000000000001,-0.7461500000000001,-0.48195,-0.9730000000000001,-0.804,-0.08474999999999996,-0.70835,0.0068499999999999985,-0.66785
-0.77,-0.30425,-0.058849999999999986,-0.46995,-0.76525,-0.5788,-0.2525,-0.82205,-0.61235,0.1726,-0.60025,0.25575,-0.4618
-0.59395,-0.17325000000000002,0.08784999999999998,-0.29165,-0.6295000000000001,-0.40775,-0.026000000000000002,-0.6958500000000001,-0.413,0.4311,-0.4861,0.50495,-0.24659999999999999
-0.4173,-0.045899999999999996,0.22999999999999998,-0.11875000000000002,-0.49425,-0.24345,0.1861,-0.6024,-0.21835,0.68245,-0.37329999999999997,0.7472,-0.030850000000000016
-0.249,0.07264999999999999,0.36185,0.040449999999999986,-0.3662,-0.09390000000000004,0.37915,-0.5431,-0.038349999999999995,0.9189499999999999,-0.26770000000000005,0.9761500000000001,0.17795000000000002
-0.0937,0.18074999999999997,0.4819,0.18280000000000002,-0.24830000000000002,0.03760000000000002,0.55565,-0.512,0.12134999999999999,1.1357,-0.1719,1.18845,0.3758
0.049350000000000005,0.2805,0.59265,0.31060000000000004,-0.13980000000000004,0.15239999999999998,0.7222500000000001,-0.49644999999999995,0.26034999999999997,1.33125,-0.08515,1.38355,0.5625
0.1846,0.37595,0.6989,0.4297,-0.03705000000000003,0.2556,0.8871,-0.47980000000000006,0.3824000000000001,1.5063499999999999,-0.00605,1.56295,0.7406499999999999
0.31820000000000004,0.4719,0.806,0.54745,0.06495000000000006,0.3536000000000001,1.05745,-0.44455,0.494,1.66265,0.06584999999999996,1.72775,0.9136500000000001
