mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc,CV folds,random seed,test size,classifier name,dim reducer,dim reduced to,classifier params,raw,stats features,bands features,channels
1.0,1.0,1.0,1.0,0.625,0.6041666666666666,0.75,0.6875,0.0,0.0,0.0,0.0,0.1767766952966369,0.16535945694153692,0.25,0.2576941016011038,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.625,0.4166666666666666,0.5,0.875,0.0,0.0,0.0,0.0,0.1767766952966369,0.3535533905932737,0.4330127018922193,0.125,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.625,0.5,0.5,0.6875,0.0,0.0,0.0,0.0,0.21650635094610965,0.3535533905932738,0.3535533905932738,0.2072890493972125,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.5833333333333333,0.75,0.875,0.0,0.0,0.0,0.0,0.1767766952966369,0.3632415786283894,0.4330127018922193,0.125,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.625,0.4375,0.375,0.8125,0.0,0.0,0.0,0.0,0.1767766952966369,0.4635124054434789,0.414578098794425,0.2420614591379636,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.7916666666666666,0.75,0.8125,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.25,0.2072890493972125,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.6041666666666666,0.75,0.8125,0.0,0.0,0.0,0.0,0.21650635094610965,0.3903123748998999,0.4330127018922193,0.2420614591379636,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.8125,0.6875,0.75,0.8125,0.0,0.0,0.0,0.0,0.2420614591379636,0.4284784125250653,0.4330127018922193,0.2420614591379636,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,FCz
0.8285714285714286,0.8380952380952381,0.8142857142857143,0.8982426303854876,0.75,0.75,0.625,0.78125,0.023328473740792173,0.009523809523809488,0.05084322977157767,0.027177204212973486,0.21650635094610965,0.3535533905932738,0.33071891388307384,0.22316963839196408,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,FCz
0.9571428571428572,1.0,0.9142857142857144,1.0,0.5625,0.4791666666666666,0.5,0.75,0.05714285714285716,0.0,0.11428571428571427,0.0,0.2072890493972125,0.4034357652299392,0.4330127018922193,0.25,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.6875,0.5208333333333333,0.75,0.90625,0.0,0.0,0.0,0.0,0.16535945694153692,0.3274215342812857,0.4330127018922193,0.10364452469860624,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,FCz
0.911904761904762,0.866984126984127,1.0,1.0,0.4375,0.3958333333333333,0.5,0.5,0.0830266465436319,0.11943598029389182,0.0,0.0,0.2420614591379636,0.2997394702070449,0.3535533905932738,0.30618621784789724,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.4375,0.25,0.25,0.4375,0.0,0.0,0.0,0.0,0.10825317547305482,0.25,0.25,0.3247595264191645,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.25,0.0,0.0,0.0,0.0,0.1767766952966369,0.2030582155168534,0.33071891388307384,0.25,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,Fz
