CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-1.7367,-1.6733500000000001,-2.6596,-3.4045,-2.4417,-2.689,-1.70045,-0.53365,-2.9463999999999997,0.45589999999999997,0.53185,1.1442,-0.84325
-1.9007500000000002,-1.8469000000000002,-2.81865,-3.5152,-2.5983,-2.8125999999999998,-1.8406500000000001,-0.66865,-3.05825,0.3296,0.48485,1.0665499999999999,-1.02445
-2.0689,-2.0263,-2.98675,-3.62535,-2.7663,-2.9406499999999998,-1.9872999999999998,-0.7954500000000001,-3.1713,0.19835,0.4343,0.9823000000000001,-1.20825
-2.2358000000000002,-2.2047499999999998,-3.1578,-3.7310499999999998,-2.9393000000000002,-3.06845,-2.1344499999999997,-0.9081,-3.282,0.07095000000000001,0.38605,0.8990499999999999,-1.3877
-2.3962,-2.3752,-3.325,-3.8284000000000002,-3.1103,-3.1913,-2.27515,-1.0016,-3.3859000000000004,-0.0443,0.34665,0.82435,-1.5563
-2.54665,-2.53155,-3.4825,-3.91485,-3.27225,-3.3053999999999997,-2.4025,-1.07185,-3.4791,-0.1417,0.321,0.76325,-1.7092
-2.6860999999999997,-2.6704,-3.6266499999999997,-3.9901,-3.4192,-3.40855,-2.51005,-1.1162999999999998,-3.55915,-0.2192,0.3109,0.7173,-1.8448
-2.81575,-2.7908,-3.7564,-4.0565,-3.5469,-3.5007,-2.5924,-1.1346,-3.6255499999999996,-0.27780000000000005,0.31445,0.6846,-1.9643000000000002
-2.9374,-2.8936,-3.8724,-4.11755,-3.65325,-3.58315,-2.645,-1.1283500000000002,-3.6795,-0.32005,0.3275,0.66165,-2.0705
-3.0532,-2.98085,-3.97605,-4.177350000000001,-3.7382,-3.6578,-2.6654,-1.1005500000000001,-3.72315,-0.34919999999999995,0.34504999999999997,0.6445,-2.1667
-3.1646,-3.05525,-4.069050000000001,-4.23885,-3.8034,-3.726,-2.654,-1.0548,-3.75915,-0.36845,0.36165,0.62955,-2.2559
-3.2725,-3.11985,-4.15295,-4.3043499999999995,-3.8520499999999998,-3.7889999999999997,-2.61505,-0.9958999999999999,-3.79005,-0.38045,0.37245,0.6139,-2.3409
-3.37725,-3.1774,-4.2294,-4.3749,-3.88815,-3.8478,-2.5566500000000003,-0.9298000000000001,-3.8184,-0.3878,0.37365,0.59535,-2.4238
-3.4787999999999997,-3.22995,-4.29955,-4.4506,-3.91575,-3.9034,-2.48855,-0.8639,-3.84635,-0.39280000000000004,0.3627,0.57195,-2.50595
-3.5759,-3.2785,-4.363049999999999,-4.5293,-3.9371,-3.9555,-2.4198500000000003,-0.8053,-3.8744500000000004,-0.39770000000000005,0.3381,0.54225,-2.58765
-3.6656000000000004,-3.3232,-4.41815,-4.6072500000000005,-3.95275,-4.00275,-2.35655,-0.75885,-3.90195,-0.40359999999999996,0.2993,0.5057,-2.6679500000000003
-3.74295,-3.3632,-4.46175,-4.6784,-3.96115,-4.042,-2.30085,-0.726,-3.92605,-0.4104,0.24755,0.463,-2.74505
-3.80265,-3.3968,-4.48985,-4.7356,-3.9597,-4.0693,-2.2513,-0.704,-3.9425,-0.41735,0.1855,0.4158,-2.8162000000000003
-3.8404000000000003,-3.4217500000000003,-4.49865,-4.7722999999999995,-3.94545,-4.0805,-2.2041,-0.68645,-3.9465500000000002,-0.42455,0.1159,0.36575,-2.8790500000000003
-3.8541,-3.43585,-4.4854,-4.78315,-3.9155999999999995,-4.072150000000001,-2.1542,-0.66495,-3.93385,-0.43335,0.04104999999999999,0.31335,-2.932
-3.8434,-3.43665,-4.4479500000000005,-4.76435,-3.8674500000000003,-4.0417,-2.09685,-0.6304500000000001,-3.9004000000000003,-0.4457,-0.0378,0.2585,-2.9737
-3.8077499999999995,-3.4208,-4.3843499999999995,-4.712300000000001,-3.79775,-3.9861999999999997,-2.0282,-0.5743999999999999,-3.8422,-0.46275,-0.11945,0.20140000000000002,-3.0028
-3.7463999999999995,-3.3850499999999997,-4.29275,-4.623749999999999,-3.7032000000000003,-3.9026499999999995,-1.9460000000000002,-0.491,-3.7557,-0.4846,-0.20185,0.1429,-3.0174000000000003
-3.6590000000000003,-3.32675,-4.171950000000001,-4.4966,-3.5811,-3.78855,-1.85025,-0.37739999999999996,-3.6383,-0.51105,-0.2827,0.0844,-3.01605
