CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-3.78795,-2.47305,-5.9,-7.644950000000001,-6.0428999999999995,-7.82265,-3.0917999999999997,-1.44435,-6.807099999999999,-2.0604999999999998,-1.8024,-2.24865,-1.9214
-3.7485,-2.4747,-5.83465,-7.6251999999999995,-6.0126,-7.7989999999999995,-3.0823500000000004,-1.4311000000000003,-6.84665,-2.1457,-1.9261,-2.3390500000000003,-1.9861
-3.70845,-2.4621,-5.7654,-7.60425,-5.97935,-7.7757000000000005,-3.0972999999999997,-1.4440499999999998,-6.88605,-2.21535,-2.0292,-2.4076,-2.04385
-3.67185,-2.43905,-5.6963,-7.582,-5.9449000000000005,-7.75415,-3.1300499999999998,-1.47485,-6.9220500000000005,-2.26915,-2.11055,-2.456,-2.09785
-3.6383,-2.40715,-5.626099999999999,-7.5554,-5.9091000000000005,-7.7325,-3.17375,-1.51755,-6.95105,-2.30925,-2.17205,-2.4862,-2.1477500000000003
-3.60075,-2.3646000000000003,-5.5481,-7.5133,-5.86315,-7.70015,-3.21185,-1.5552000000000001,-6.9594000000000005,-2.3366,-2.2178,-2.49875,-2.18985
-3.5644,-2.31675,-5.4676,-7.462199999999999,-5.8119,-7.662999999999999,-3.2470499999999998,-1.5904000000000003,-6.9536999999999995,-2.3574,-2.25275,-2.5006500000000003,-2.2273
-3.5286999999999997,-2.2658,-5.385050000000001,-7.40165,-5.753550000000001,-7.61995,-3.2748,-1.61855,-6.9323500000000005,-2.3758500000000002,-2.28245,-2.49655,-2.26055
-3.4938,-2.2148,-5.30255,-7.3331,-5.6882,-7.57165,-3.29275,-1.6369499999999997,-6.89605,-2.3956,-2.3126499999999997,-2.4912,-2.2906
-3.4604,-2.16715,-5.22315,-7.2597499999999995,-5.61815,-7.520199999999999,-3.3007999999999997,-1.6444,-6.8478,-2.4196999999999997,-2.348,-2.48865,-2.3188999999999997
-3.4291,-2.12565,-5.1495999999999995,-7.1848,-5.5463,-7.46785,-3.3001000000000005,-1.6404000000000005,-6.79125,-2.44935,-2.3916000000000004,-2.49115,-2.3459
-3.3991499999999997,-2.0909999999999997,-5.08255,-7.110049999999999,-5.47475,-7.415649999999999,-3.29145,-1.6243000000000003,-6.72945,-2.4837,-2.444,-2.4983500000000003,-2.37045
