CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-1.5451,-1.32315,-2.1218500000000002,-3.19745,-2.9838,-2.9926500000000003,-2.88255,-0.98845,-4.10155,0.7717,0.5136000000000001,0.6507499999999999,-1.13055
-1.5566,-1.32125,-2.1336,-3.25405,-2.9993,-3.01295,-2.83165,-1.08095,-4.128550000000001,0.7645500000000001,0.5673499999999999,0.69865,-1.11245
-1.5701,-1.31815,-2.1471999999999998,-3.3201,-3.0180499999999997,-3.03925,-2.76645,-1.17485,-4.1686499999999995,0.7585999999999999,0.62555,0.7528000000000001,-1.0895
-1.5843500000000001,-1.3145499999999999,-2.1629,-3.39215,-3.0404,-3.07005,-2.6879,-1.27345,-4.22065,0.7536,0.683,0.80985,-1.0625
-1.5979,-1.3117,-2.18045,-3.4665,-3.06665,-3.1042,-2.5990499999999996,-1.38005,-4.2825,0.74915,0.7339500000000001,0.86545,-1.03275
-1.6092,-1.3104500000000001,-2.1990499999999997,-3.53965,-3.0964,-3.1402,-2.5047,-1.49665,-4.35125,0.74425,0.7732,0.9149,-1.0016
-1.61625,-1.31085,-2.21705,-3.6077000000000004,-3.1282,-3.1759000000000004,-2.4106,-1.62275,-4.4228,0.73785,0.7967000000000002,0.9541999999999999,-0.96925
-1.61695,-1.31125,-2.23205,-3.6670499999999997,-3.15945,-3.20845,-2.32255,-1.75455,-4.4922,0.72915,0.8024,0.98005,-0.9352
-1.60885,-1.3087499999999999,-2.2407,-3.71415,-3.18665,-3.23445,-2.24545,-1.8855,-4.55405,0.71765,0.79005,0.9908999999999999,-0.8979
-1.58975,-1.2993000000000001,-2.2392,-3.7455,-3.20605,-3.2502,-2.18295,-2.0073499999999997,-4.6027000000000005,0.7036,0.7611000000000001,0.98635,-0.8554
-1.5575,-1.2782499999999999,-2.22325,-3.75785,-3.21385,-3.25175,-2.1361499999999998,-2.112,-4.63245,0.68745,0.7179500000000001,0.9671500000000001,-0.8057500000000001
-1.5103499999999999,-1.24135,-2.1886,-3.74815,-3.2058,-3.23525,-2.1030499999999996,-2.19235,-4.63795,0.6704,0.66415,0.93485,-0.74685
-1.4466,-1.1844000000000001,-2.1314,-3.7136,-3.17755,-3.1971499999999997,-2.0787500000000003,-2.24315,-4.6147,0.6547499999999999,0.6039000000000001,0.8928,-0.6763
-1.3646,-1.10425,-2.04855,-3.6521,-3.12465,-3.1347,-2.05755,-2.2617,-4.55955,0.644,0.5422,0.8459000000000001,-0.5915
-1.26325,-0.9991999999999999,-1.93815,-3.5629,-3.04425,-3.04615,-2.0344,-2.24825,-4.4719500000000005,0.64245,0.48425,0.79975,-0.49060000000000004
-1.1423,-0.8693,-1.80015,-3.447,-2.9352,-2.9316,-2.0063,-2.20535,-4.3533,0.65405,0.4354,0.76075,-0.37255
-1.0025,-0.7165,-1.63635,-3.30645,-2.7988,-2.79275,-1.9722,-2.13715,-4.20715,0.6822,0.40125,0.73525,-0.23754999999999998
-0.84635,-0.5443,-1.45095,-3.1451000000000002,-2.6383,-2.6329,-1.9329999999999998,-2.04915,-4.0389,0.72845,0.387,0.72905,-0.08725
-0.67815,-0.3575,-1.25035,-2.9686,-2.4591,-2.4572000000000003,-1.8914,-1.9483000000000001,-3.8552999999999997,0.7921499999999999,0.39690000000000003,0.7461,0.0753
-0.5034500000000001,-0.16195000000000004,-1.042,-2.7836,-2.2678499999999997,-2.27225,-1.8516499999999998,-1.84335,-3.6642,0.8707,0.43325,0.78835,0.2457
-0.32794999999999996,0.036250000000000004,-0.83345,-2.59715,-2.0719,-2.0847,-1.8183,-1.7434500000000002,-3.4733,0.9608,0.4968,0.8553,0.4189
-0.15694999999999998,0.23165000000000002,-0.6313500000000001,-2.4151499999999997,-1.87785,-1.9005999999999998,-1.7959999999999998,-1.65625,-3.28895,1.0588,0.5860500000000001,0.94455,0.5899000000000001
0.005350000000000021,0.41990000000000005,-0.4406,-2.24185,-1.69085,-1.7241,-1.78795,-1.5865,-3.11585,1.1613,0.6976,1.05215,0.7545
0.1563,0.5986499999999999,-0.2643000000000001,-2.07995,-1.51455,-1.5579,-1.79595,-1.5354,-2.95675,1.2657,0.8265,1.1737,0.90985
0.29455000000000003,0.76685,-0.10415000000000008,-1.9307999999999998,-1.3514,-1.4036000000000002,-1.8195,-1.50115,-2.8133,1.37035,0.9675,1.3051,1.0546
0.4202,0.9248500000000001,0.03969999999999996,-1.79515,-1.2028999999999999,-1.2622,-1.85605,-1.4797500000000001,-2.68605,1.47465,1.11575,1.4431,1.1881
0.53195,1.0689499999999998,0.16315000000000002,-1.6748999999999998,-1.07085,-1.1357000000000002,-1.8888,-1.4442499999999998,-2.5732,1.5713,1.2622,1.5766499999999999,1.3053
0.63435,1.2058,0.27304999999999996,-1.5674000000000001,-0.9520500000000001,-1.0216,-1.9255,-1.4138,-2.475,1.6692,1.41155,1.7135,1.41295
0.7293499999999999,1.3374,0.3716,-1.47165,-0.84445,-0.91875,-1.96205,-1.3868,-2.3903,1.76925,1.56445,1.8534000000000002,1.5128499999999998
0.81835,1.46455,0.4603,-1.3869,-0.7464999999999999,-0.8267,-1.9970999999999999,-1.3651499999999999,-2.3192,1.87205,1.72165,1.996,1.60645
0.9013,1.5866,0.5392,-1.31365,-0.6585,-0.7464500000000001,-2.0322500000000003,-1.35405,-2.2633,1.97705,1.8829000000000002,2.14055,1.6941000000000002
0.97655,1.7008,0.6064499999999999,-1.2539500000000001,-0.5828500000000001,-0.6808000000000001,-2.0715,-1.36025,-2.2259,2.0825,2.04555,2.28475,1.7746499999999998
1.04115,1.8032,0.6587500000000001,-1.21115,-0.5229999999999999,-0.63365,-2.1187,-1.3894,-2.2106500000000002,2.18515,2.20575,2.4254499999999997,1.8457
1.09175,1.88985,0.6929500000000001,-1.1886,-0.4825,-0.6088,-2.1765999999999996,-1.4437499999999999,-2.2206,2.28075,2.35865,2.5585,1.90445
1.1258,1.9577999999999998,0.70665,-1.18865,-0.4635,-0.60895,-2.24485,-1.5223499999999999,-2.2571000000000003,2.3651999999999997,2.49955,2.6799,1.9485
1.1424,2.0059,0.69955,-1.21135,-0.46645,-0.63465,-2.32055,-1.62185,-2.31915,2.4355,2.6254,2.78675,1.9768
1.1425999999999998,2.0353,0.6731499999999999,-1.2549,-0.4899,-0.6841,-2.39845,-1.7372,-2.4038,2.49025,2.73485,2.87745,1.99005
1.1289,2.0486,0.6304000000000001,-1.31575,-0.53095,-0.7536999999999999,-2.47215,-1.8628,-2.50645,2.52915,2.8278499999999998,2.951,1.99015
1.1038000000000001,2.04895,0.5749,-1.3904,-0.5861000000000001,-0.83965,-2.5368,-1.9936,-2.62215,2.5513,2.9041,3.0061999999999998,1.9792
1.069,2.0391500000000002,0.5099,-1.4758,-0.6520999999999999,-0.9382,-2.5900999999999996,-2.1266499999999997,-2.74665,2.5547,2.9627499999999998,3.0412,1.95875
1.02555,2.0216000000000003,0.4386,-1.56955,-0.7262500000000001,-1.046,-2.6327499999999997,-2.26055,-2.8762499999999998,2.5372,3.0034,3.0550499999999996,1.9299499999999998
0.9751,1.9985,0.36405,-1.6691500000000001,-0.8060499999999999,-1.15945,-2.6675,-2.3947,-3.0080999999999998,2.49775,3.0264499999999996,3.04835,1.89405
