CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-3.8125,-1.8713500000000003,-5.6236999999999995,-7.7452000000000005,-5.8501,-7.6966,-3.4178499999999996,-2.0992,-7.922,-0.9485499999999999,-0.25354999999999994,-0.50885,-1.0058
-3.754,-1.83165,-5.531700000000001,-7.652049999999999,-5.7319,-7.5954999999999995,-3.3241000000000005,-1.8991000000000002,-7.8394,-1.00905,-0.34310000000000007,-0.60565,-1.0155500000000002
-3.7076,-1.8013,-5.45815,-7.57215,-5.63675,-7.50955,-3.26265,-1.7446499999999998,-7.772349999999999,-1.07335,-0.4192,-0.6958500000000001,-1.0318
-3.67415,-1.78055,-5.4036,-7.50815,-5.5677,-7.44075,-3.2364999999999995,-1.64405,-7.72335,-1.1475499999999998,-0.4837499999999999,-0.78325,-1.0559
-3.6518,-1.7671999999999999,-5.36485,-7.4585,-5.5226500000000005,-7.3875,-3.2472499999999997,-1.5995,-7.6899500000000005,-1.2351,-0.5383000000000001,-0.8701000000000001,-1.08695
-3.6290000000000004,-1.75285,-5.3298499999999995,-7.409050000000001,-5.4869,-7.33555,-3.2836999999999996,-1.5957,-7.65485,-1.3311000000000002,-0.58245,-0.9517499999999999,-1.1178500000000002
-3.6048,-1.7346000000000001,-5.296049999999999,-7.360099999999999,-5.456449999999999,-7.284649999999999,-3.3488999999999995,-1.6297000000000001,-7.61745,-1.4292,-0.61295,-1.0244499999999999,-1.14555
-3.5719499999999997,-1.7064,-5.2557,-7.30395,-5.420100000000001,-7.22685,-3.4335000000000004,-1.6856,-7.567200000000001,-1.5161000000000002,-0.6255,-1.07875,-1.16305
-3.52515,-1.6642,-5.20325,-7.23495,-5.369949999999999,-7.156499999999999,-3.5253,-1.7461499999999996,-7.49595,-1.57685,-0.6161,-1.1048,-1.16465
-3.4621,-1.60685,-5.1366000000000005,-7.1507499999999995,-5.30215,-7.071199999999999,-3.61175,-1.7959,-7.3993,-1.5992499999999998,-0.5819000000000001,-1.09485,-1.1471999999999998
-3.3834,-1.5359,-5.0565,-7.0516,-5.2170499999999995,-6.9718,-3.6817,-1.8239500000000004,-7.27665,-1.5761,-0.5217,-1.0442,-1.1102
-3.2916499999999997,-1.45475,-4.96615,-6.9401,-5.117850000000001,-6.86145,-3.72755,-1.8255000000000003,-7.1312500000000005,-1.5052999999999999,-0.43574999999999986,-0.9514,-1.05525
