CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-1.7223499999999998,0.19694999999999996,-2.3023,-4.5241,-3.4824,-4.4694,-5.3011,-5.11315,-5.5712,-0.5957,1.4191,0.6506500000000001,0.6390499999999999
-1.6289500000000001,0.3242499999999999,-2.183,-4.4267,-3.3493500000000003,-4.3425,-5.1671,-4.88965,-5.42305,-0.5420999999999999,1.49285,0.7072,0.7452000000000001
-1.51295,0.47635000000000005,-2.03755,-4.3062000000000005,-3.1909,-4.18905,-5.0095,-4.6275,-5.2483,-0.46229999999999993,1.5914499999999998,0.7879,0.8750499999999999
-1.37955,0.6466500000000001,-1.87195,-4.1689,-3.01355,-4.01485,-4.83545,-4.3423,-5.0546500000000005,-0.3627999999999999,1.7094999999999998,0.8868499999999999,1.023
-1.2327000000000001,0.82815,-1.6917000000000002,-4.02135,-2.8263,-3.8274,-4.66535,-4.059,-4.85295,-0.24940000000000007,1.8415000000000001,0.999,1.1843499999999998
-1.0821,1.0101499999999999,-1.50835,-3.87335,-2.6388,-3.6365499999999997,-4.49935,-3.78805,-4.65285,-0.13385000000000002,1.9768500000000002,1.11315,1.3478999999999999
-0.9341499999999998,1.1842499999999998,-1.3303000000000003,-3.7319,-2.45995,-3.45085,-4.3459,-3.54335,-4.463900000000001,-0.023600000000000065,2.1077,1.222,1.50605
-0.7921499999999999,1.3453499999999998,-1.16215,-3.6004500000000004,-2.2946999999999997,-3.2752999999999997,-4.2090499999999995,-3.3327,-4.29185,0.07759999999999989,2.2291000000000003,1.3216,1.6545500000000002
-0.6552,1.4933500000000002,-1.00345,-3.47765,-2.14285,-3.1103,-4.0874,-3.15645,-4.1367,0.17105000000000015,2.3406000000000002,1.4124,1.7937499999999997
-0.5195499999999997,1.6319500000000002,-0.8502000000000001,-3.3585499999999997,-1.99975,-2.9520500000000003,-3.97565,-3.00935,-3.9941000000000004,0.26095,2.4446000000000003,1.4978,1.9272
-0.3808,1.76615,-0.6972499999999999,-3.2372500000000004,-1.85945,-2.7953,-3.8677,-2.8838,-3.8581000000000003,0.35205,2.54415,1.5811000000000002,2.05965
-0.23680000000000012,1.8993000000000002,-0.5416000000000001,-3.1098,-1.71775,-2.6363499999999997,-3.7597,-2.7728,-3.72445,0.44714999999999994,2.6406,1.664,2.19395
-0.0885499999999999,2.0314,-0.38349999999999995,-2.97565,-1.5738,-2.4746,-3.65185,-2.67255,-3.5923999999999996,0.5462499999999999,2.73305,1.7454,2.3297
0.060350000000000126,2.1595,-0.22640000000000016,-2.8373999999999997,-1.4299,-2.3129,-3.5477,-2.58215,-3.4642999999999997,0.6471,2.8185000000000002,1.8222,2.4637000000000002
0.20540000000000003,2.2789,-0.07505000000000006,-2.69935,-1.2902,-2.15575,-3.45135,-2.5020000000000002,-3.3438999999999997,0.7462000000000002,2.8933,1.8908,2.5912
0.34299999999999997,2.38575,0.06675000000000009,-2.56465,-1.1582999999999999,-2.00685,-3.3639,-2.43155,-3.2339,0.8408500000000001,2.9549000000000003,1.9486000000000003,2.7084
0.47225000000000006,2.47855,0.19734999999999991,-2.4343500000000002,-1.03575,-1.8678,-3.2817499999999997,-2.36795,-3.1343,0.93045,3.003,1.9956500000000001,2.81385
0.5940000000000001,2.55775,0.31710000000000005,-2.3075,-0.9224,-1.7383499999999998,-3.1989,-2.3074500000000002,-3.0431,1.0161000000000002,3.0396,2.03385,2.9082999999999997
0.7100000000000001,2.62475,0.42684999999999984,-2.18325,-0.81795,-1.61815,-3.10995,-2.2475,-2.95815,1.09925,3.06675,2.0656499999999998,2.9932
0.8212000000000002,2.6801,0.52685,-2.0615,-0.7234,-1.5077,-3.0134,-2.1886,-2.8786500000000004,1.18015,3.0854500000000002,2.0927000000000002,3.0693
0.9269999999999999,2.7229,0.6157,-1.94345,-0.6411,-1.40845,-2.9123,-2.13405,-2.80525,1.2573500000000002,3.0947,2.1148000000000002,3.13565
1.02575,2.7516000000000003,0.69135,-1.8310499999999998,-0.57425,-1.3225,-2.8135000000000003,-2.0887000000000002,-2.7397,1.3286000000000002,3.0928,2.13085,3.1903
1.1154000000000002,2.76415,0.7519,-1.72625,-0.52535,-1.25165,-2.7249,-2.05715,-2.6837,1.39215,3.0787500000000003,2.1397500000000003,3.23115
1.19395,2.7588500000000002,0.7958,-1.6302999999999999,-0.4962,-1.19715,-2.65405,-2.0429,-2.63835,1.44695,3.05235,2.1409000000000002,3.25685
1.25955,2.73465,0.82195,-1.5446,-0.48740000000000006,-1.1592,-2.60755,-2.04805,-2.6042500000000004,1.4925,3.0141999999999998,2.134,3.2667
1.31095,2.6916,0.8300500000000001,-1.4706000000000001,-0.499,-1.13785,-2.5906000000000002,-2.0740499999999997,-2.5816999999999997,1.5279500000000001,2.9648499999999998,2.11895,3.2605000000000004
1.34785,2.6313999999999997,0.8208,-1.4092,-0.52915,-1.1316,-2.60625,-2.1204,-2.5703500000000004,1.55295,2.90535,2.0965000000000003,3.2396000000000003
1.3724500000000002,2.55845,0.7969999999999999,-1.3599,-0.5733,-1.13735,-2.65355,-2.18415,-2.5681000000000003,1.5689,2.8387000000000002,2.0689,3.20775
1.3886,2.47925,0.7636000000000001,-1.32045,-0.6252,-1.1501000000000001,-2.72755,-2.26025,-2.57165,1.5791,2.7695499999999997,2.0401,3.17065
1.39815,2.3995,0.7236,-1.2890000000000001,-0.6780499999999999,-1.1654499999999999,-2.8096,-2.3356,-2.5760500000000004,1.58475,2.7012,2.01205,3.1312
