CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-1.2406,-0.0475,-1.5860500000000002,-3.41775,-2.3834999999999997,-2.8246,-7.1731,-9.4691,-3.6027,1.5391,1.9162,2.4644000000000004,0.11815
-1.2497500000000001,-0.0593,-1.6088500000000001,-3.43335,-2.3771500000000003,-2.8308999999999997,-7.1530000000000005,-9.5294,-3.6181,1.5209,1.89515,2.4464,0.10239999999999999
-1.2545,-0.06795,-1.62805,-3.4395,-2.36715,-2.8309499999999996,-7.1358,-9.5741,-3.6279500000000002,1.5112,1.8820999999999999,2.4402999999999997,0.09045
-1.2562,-0.07490000000000001,-1.64415,-3.4379,-2.3562000000000003,-2.8262,-7.1162,-9.59755,-3.63335,1.51,1.878,2.4461,0.08195
-1.25635,-0.08124999999999999,-1.65845,-3.43085,-2.3465,-2.81855,-7.09065,-9.5951,-3.6357999999999997,1.5173999999999999,1.8831,2.4635,0.07635
-1.2565499999999998,-0.0885,-1.6724999999999999,-3.4213500000000003,-2.34025,-2.81095,-7.05785,-9.5636,-3.6375,1.5337,1.8962,2.4909499999999998,0.07255
-1.259,-0.09885,-1.6889,-3.41275,-2.34,-2.80695,-7.019299999999999,-9.50235,-3.64135,1.55805,1.91495,2.5263,0.0686
-1.266,-0.11449999999999999,-1.7098,-3.40835,-2.34865,-2.8105,-6.9786,-9.41385,-3.6506999999999996,1.5895,1.9367,2.5671,0.0631
-1.279,-0.13685,-1.7366,-3.4106500000000004,-2.36825,-2.8246,-6.940849999999999,-9.304,-3.6683,1.6274,1.9598499999999999,2.6121,0.05535
-1.2982,-0.1661,-1.7694999999999999,-3.4209,-2.39955,-2.8508500000000003,-6.9109,-9.1811,-3.69595,1.6715,1.9838,2.6608,0.04585
-1.3229,-0.20145,-1.8077,-3.4396500000000003,-2.4421,-2.8893500000000003,-6.8932,-9.05435,-3.734,1.72165,2.00845,2.7127999999999997,0.035449999999999995
-1.3521999999999998,-0.24145,-1.8501,-3.4669499999999998,-2.49475,-2.9391,-6.89115,-8.932649999999999,-3.7821,1.77685,2.03395,2.7674000000000003,0.02515
-1.38525,-0.2851,-1.89595,-3.50345,-2.55635,-2.99895,-6.906549999999999,-8.82495,-3.8393,1.8349499999999999,2.0598,2.82275,0.015199999999999998
-1.42195,-0.3315,-1.9453,-3.5500499999999997,-2.62605,-3.0683,-6.93935,-8.7403,-3.9047,1.8928500000000001,2.0848,2.87645,0.005
-1.46185,-0.3794,-1.9982,-3.60725,-2.7027,-3.1458500000000003,-6.98785,-8.68795,-3.9773000000000005,1.9480499999999998,2.1082,2.92665,-0.005900000000000001
-1.5027,-0.42660000000000003,-2.05315,-3.6732000000000005,-2.784,-3.2291999999999996,-7.04875,-8.67445,-4.05475,1.99945,2.1304499999999997,2.97325,-0.017
